Time,Time (microseconds),Computer,Reason,Tag(s),Action,Rank,Direction,Interface,Frame Type,Protocol,Flags,Source IP,Source MAC,Source Port,Destination IP,Destination MAC,Destination Port,Packet Size,Repeat Count,End Time,Flow,Status,Note,Data Flags,Data Index,Data,Event Origin
"April 10, 2018 09:27:49",1523348869023163,cscloud2c9a.kent.ac.uk,Invalid IPv6 Address,,Deny,50,Incoming,FA:16:3E:68:2D:73,IPv6,ICMPv6,,0:0:0:0:0:0:0:0,18:66:DA:EF:99:AA,0,ff02:0:0:0:0:1:ff1f:316e,33:33:FF:1F:31:6E,0,78,1,,Connection Flow,147,,8,27945,3333FF1F316E1866DAEF99AA86DD6000000000183AFF00000000000000000000000000000000FF0200000000000000000001FF1F316E8700ACAF0000000020010630034011038517E651C51F316E,Agent
"April 10, 2018 09:12:41",1523347961865855,cscloud2c9a.kent.ac.uk,Invalid IPv6 Address,,Deny,50,Incoming,FA:16:3E:68:2D:73,IPv6,ICMPv6,,0:0:0:0:0:0:0:0,44:A8:42:41:2C:4B,0,ff02:0:0:0:0:1:ff37:17de,33:33:FF:37:17:DE,0,78,1,,Connection Flow,147,,8,27944,3333FF3717DE44A842412C4B86DD6000000000183AFF00000000000000000000000000000000FF0200000000000000000001FF3717DE8700202300000000200106300340110308FF69E77D3717DE,Agent
"April 10, 2018 06:26:39",1523337999987475,cscloud2c9a.kent.ac.uk,Dropped Retransmit,,Deny,50,Incoming,FA:16:3E:68:2D:73,IP,TCP,ACK DF=1,129.67.1.218,F8:66:F2:43:82:46,80,129.12.44.154,FA:16:3E:68:2D:73,43792,1514,1,,Connection Flow,139,"""rxjammed""",8,27943,FA163E682D73F866F24382460800450005DC3EEA40003206D36E814301DA810C2C9A0050AB104779753653F82E008010003DC0AA00000101080A64094C1D96F64EB5485454502F312E3120323030204F4B0D0A446174653A205475652C2031302041707220323031382030353A32363A333920474D540D0A5365727665723A204170616368652F322E322E3232202844656269616E290D0A4C6173742D4D6F6469666965643A205475652C2031302041707220323031382030343A32353A303720474D540D0A455461673A202234306530342D336338642D35363937366538336532656330220D0A4163636570742D52616E6765733A2062797465730D0A436F6E74656E742D4C656E6774683A2031353530310D0A436F6E6E656374696F6E3A20636C6F73650D0A0D0A436C616D41562D446966663A32343436363A37323132373A1F8B08000000000002039C9C49971CC77570F7FA15BDD781FCE621779428C9B63E8DB4067BE313A304890468081AA85FFF2DC8EE8AAA465667F6127D702323225F4646BE17757FF9AB1FFFE2A197B75F7EF383B7EFE6FBEFFDE147FFFED3077CF8D197E5ABCF7EF7E6779FFF70835CFF85F0F0D9D71F1E08301E00DE903CBC0101D848C46CC3040586CD78FBC3F687EDDD78BFA112330B997FDB363F5EED8FEF364C14D9AEFFE0B00577D10A9D0073F4D6861A1069E1493833872B0D92AC358A3796B48603B373612B0D1CBFBD905CDAA50D45F9F60F4ADBD40ECA0A73D648AB48C1EE2D2C07C804AA64452AB2891B32D58A52B462A341A520C477438AEF1AFED35FEB96691A7CFD874006DA867249F43665CE2ADD661D2051C26AE35EB50535E411941660B32BFA242BEAECBD33E9F8EED6D8776D7FD9EB86C81070FD0702F64DB5A44E4F9E8D0B8E2E2D98468CAC6E13B015278F5247C936D26D0429CDC2EC4D58A97F372ED287CFBFF88F9F6EEF7F38BF78F7DBBFFFF9E7D8BEFDC3CFFFFEA37FBDFDEDEFFFF6C3F2F58FDF7F1CDFEFBFF8F887B7BF9ABFFB9F2FFF0CBF7EFB1BF8E23F3FFB597EF8E627FC3F3FFBFA57BFFDEAFB7FFBFEDBEFFF0F7DF311FFE7F35F7FF49F7FF9C3FFF9EBFFFDA3FEDF7FFFF3777FE7F29378FFD3BFF237FFF6C36FFEFE6F3FA7773FFEA1FDE5E73FEDF2FFE49FFFA51FFFF8F57FFEF047FD97ED4F3FFA9F9F7DD45FA3FEE56FFEE7F74EBFFACB973FFFD77FD67FFEF427F39F3FFBF90F7FFBCD2FFEED377FFEFCA7FFFCF56FFFADFEE3D715FEFEF30F7F19FFF6B7FCF3F87777FEE71F3FEFF1CD679FC3175F7CF3EE8B9FB4F77FF8E5673F6A69FFF7DBBFFCE5D77F1DEFEBAFBF44E97FF915FCE637BFFE7FFFF7A77FD5DF7EF5D76FFEFEE1AFBFEE1FFDAFBF28FFF15FFFF5FBF6E57FFCB4FEFBF8CDFFFDEEBFBF2E3FC778FBEF5FD22FBFCE1FBF7DFB8BF127FDC95FBE901F7EF5D9F77F9BBF9A7F7EFBAF7FD6CFFE401F3FFF907F30FB73FEEA8FDFFFD9F8067FF5FD77FF8DBFFA02BFF8FD8F7EF1367EF31F3FF3DF37B7DFD38FFEFA057DF8EF9FFDA37EEF47FFEF975FFCF87BBF5C9EC83FBEFBEEAEBB3F7C55DEBEDB84B6DFBF7DF783FFFAF0FECF577FF8FDFB0F5FFDE0BFC6BB3F96371A8F4C3CFB2FCF1A29EF7EF0F987F75F7F3DFA1BB4D047320F5CEDF77F7AFB71BC6DE38D7DF7C061C07DECBB0BFEE6FDBFC6BBF20621F211C443E0677FFBF8FEEDC73798608F209D1BA22B3D927C60883FFAD3DB0F6F501E972E0C39D6CF3F8E771FDF20391BC923AA87D09F8E77E3C3DBF697FE86C49EFA6A8746F97459437B8C81F0FBE8EFDF7FF8EA07BFF9DBBBF77F6BE30DC7D39D8CC3B3A30C8F501E1A228A647AFA9BC78BE5B1B0F95DFDCB876FBEFEF88601E37166F258E07CF18F0FEF3F7C7C83E6F818E249676E2503DAD3E4249F4349831F5139871A5ED06301F414EA218F319076F2A27C99253F1479BF295FBD7BFBF18D123FCDD191007ABC2212F0E35290C782E867E55FDFBC71C6EF16020238D451244D46A4C7D823C003CFC7B7819EA08F101D80BE5D8C1F9738023E7EA1E447484ECC2223C4D3B0F4D074FCE4ED97E3EDBB39DAC7F71FDEE4E35B1FEC685709E8694E8E2C344FAF8C7CEA681CBF163F41475E4FBF78FB552F6F1EE38A,Agent
"April 10, 2018 06:26:10",1523337970747559,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,ICMP,Type:3 Code:3,193.1.193.64,F8:66:F2:43:82:46,0,129.12.44.154,FA:16:3E:68:2D:73,0,0,4,"April 10, 2018 06:26:24",Connection Flow,123,,0,,,Agent
"April 10, 2018 06:26:09",1523337969751562,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,FA:16:3E:68:2D:73,IP,ICMP,Type:3 Code:3,193.1.193.64,F8:66:F2:43:82:46,0,129.12.44.154,FA:16:3E:68:2D:73,0,102,1,,Connection Flow,123,,8,27942,FA163E682D73F866F2438246080045000058134B000030014772C101C140810C2C9A03032D14000000004500003CD1E64000310647ED810C2C9AC101C14092300050BA1AE0B900000000A0027210B05C0000020405B40402080A96F6315F0000000001030307,Agent
"April 10, 2018 04:34:12",1523331252500945,cscloud2c9a.kent.ac.uk,Invalid TCP Timestamp,,Log Only,50,Incoming,FA:16:3E:68:2D:73,IP,TCP,ACK DF=1,91.189.88.152,F8:66:F2:43:82:46,80,129.12.44.154,FA:16:3E:68:2D:73,40918,82,1,,Connection Flow,153,,8,27941,FA163E682D73F866F24382460800450000445901400032068DB75BBD5898810C2C9A00509FD6A230587B83773FB38010010DE92700000101080ADEE060E496DC918E205D561384723C66C3E71A2E8211CCDE,Agent
"April 10, 2018 04:34:11",1523331251628943,cscloud2c9a.kent.ac.uk,Dropped Retransmit,,Deny,50,Incoming,FA:16:3E:68:2D:73,IP,TCP,ACK PSH DF=1,91.189.88.152,F8:66:F2:43:82:46,80,129.12.44.154,FA:16:3E:68:2D:73,40918,277,1,,Connection Flow,139,"""rxjammed""",8,27940,FA163E682D73F866F243824608004500010755EC4000320690095BBD5898810C2C9A00509FD6A225443983773BDF801800EBC51D00000101080ADEE05D8E96DC9084485454502F312E3120333034204E6F74204D6F6469666965640D0A446174653A205475652C2031302041707220323031382030333A33343A313120474D540D0A5365727665723A204170616368652F322E342E313820285562756E7475290D0A455461673A202233633433652D35333130373034326164303030220D0A457870697265733A205475652C2031302041707220323031382030333A33343A313120474D540D0A43616368652D436F6E74726F6C3A206D61782D6167653D302C2070726F78792D726576616C69646174650D0A0D0A,Agent
"April 9, 2018 22:25:44",1523309144277495,cscloud2c9a.kent.ac.uk,Dropped Retransmit,,Deny,50,Incoming,,IP,TCP,ACK DF=1,146.112.59.53,F8:66:F2:43:82:46,80,129.12.44.154,FA:16:3E:68:2D:73,54972,0,1,,Connection Flow,139,,0,,,Agent
"April 9, 2018 22:25:44",1523309144073496,cscloud2c9a.kent.ac.uk,Dropped Retransmit,,Deny,50,Incoming,FA:16:3E:68:2D:73,IP,TCP,ACK DF=1,146.112.59.53,F8:66:F2:43:82:46,80,129.12.44.154,FA:16:3E:68:2D:73,54972,1474,1,,Connection Flow,139,"""rxjammed""",8,27939,FA163E682D73F866F24382460800450005B4A4D440003306222492703B35810C2C9A0050D6BC1B6A7CD85D901E748010003A43FF00000101080A1FF8D83B96883B4E485454502F312E3120323030204F4B0D0A5365727665723A206E67696E780D0A446174653A204D6F6E2C2030392041707220323031382032313A32353A343420474D540D0A436F6E74656E742D547970653A206170706C69636174696F6E2F6F637465742D73747265616D0D0A436F6E74656E742D4C656E6774683A20383938370D0A436F6E6E656374696F6E3A20636C6F73650D0A4C6173742D4D6F6469666965643A204D6F6E2C2030392041707220323031382032303A32343A333120474D540D0A455461673A202235616362636266662D32333162220D0A457870697265733A205475652C2030392041707220323031392032303A32343A333120474D540D0A43616368652D436F6E74726F6C3A206D61782D6167653D33313533323332370D0A4163636570742D52616E6765733A2062797465730D0A782D7175616472612D736C75673A20636C616D61762D3930636235616363633766622E737973656E67737770726F642E6C6F6E0D0A0D0A436C616D41562D446966663A32343436353A32343731303A1F8B0800000000000203859C4DBB6F4571F6E77E0AE65C4ABDBFAC198A882686104430B3EAAEEA88414E048D984FFF0CC873B13657D63EC37306F7EE55EBFE7757D5AF7A7DFCAFBFFC9777BABEFCEA1F3FFBF2EBF3E6275FFCE2A35FBD83EFFCE2ABFAF3FBBFFFE9EF3FF8F905F9A37FBDFF5FDFBC4380F10EDA4F89DFF92908C04522A6172688035CC6D717D717D7D7F3E64225665061FA5E3BFEF7AFFDF1DB75651AABBEFC0F0D46BA4A41453A2D903C0D5247A6E24C90A8017798ADA675907079F3721076F64C5E5019DFFF2DD2773EF8F4D7BFBA3EFAE2D3AFFB3FFE077FFFDE1FBFFF8F373F3F9F7EFDD97FFFE9B7B8FFF24FDF257EFD95FEED1FDFFEF597DF7EF37EFCA3FE0DE4CD5FD9E2BDDFAD8FDFFFE6AB3FFCEE8BBFFDFC37DF7CFCB7773FFCE29BDFFFE51FFFF8D3279FD9BFF87B7FFBDB2FDEFB45FDE6DD8FDF7CFD4FEFA57CF8AE7FFCD567DF7DFBE6B3FFFCE28FFAAB0F3E93EF7EF3ABCF7FFD897CFC957FD1F4AF6FFEF3CDBB71DEBC79FF3B95DFD99FFEE9BBB06FDFFDF2EBFDB75FBFE9CFFEEDB3F9FCD30FBEF94EBEF9F87FC83FF96CFEF3DFDE7DF7DFFFF2C91BFFF0777F3DF65EFCF6F3F7DEBCF7EEAFBF78F3F74F3FFF6EFEFC2FDEBF85FAE8BDAFFFE7BFDFFB6B9FDF7EC4EB93F7BFFBF3975FFCF9D49F3EFFF53FFFF357E7F7F21BFEFC93CFFEF2A19F8F3FA47F65FBF7F539FDFDB32FEB17FDC16FFFF0870F3F8F6FDF90C107FAF5FB9F7FF9D58768BF3D1FFCE597FB2FE7CD477FEA4F637FF2CB5FBEFF67FFE83B37FCE633B3F8E013FCEEC37FFFC3A7F6D1DFBFD4EF3EFBFAF7FD117EFBF737DF7CFDE5E7DFB2FEFC0F5FAF9FFCE29F3FFEF4973FF9F8074BFDF1DBF593F73FF8E09D861D909CE90AE3D42B1750647635F5085E9E842AD7C7DF7EF7B3DFD6577FAF6FE667EFFFC77CFDD79F9A0210F94FE172FEC9FB1F7CF04E796550EB9A99B0DDDBB016E7A432D60AB8C82545AECFBFFCFA67BFFBE6CD9FEAEB9FFDF2CF6FFE3AFF5F2A7E903A6C4927193A084F67551F6C3B967102782E4C6792B83E78B37FF6C1376FFEEBBFE69B17CBCA1FB466ED10D3E96DBE09D7A1A031F439D4A7375E841C46F2A4C5F0835667F316D0F4C5BE3B9C0300BA579227A95D98A1CAF6A8853F68E5C04498F3DEE36253B44A9D299BCADBF022404283472DFA418B7B881609952CA8C309264056CBD1B6CB5C68A406CF5A7C8B7D5ACA90030F2FC9760BF061041685D5E742079657E2253F6881985B45D66A0CD4B0195F10613C7B3BD9852E96F2ACA53F6845422C26AB4C3F60B51173DBF1DCC75CE55C1860FC4AECED072D4F6AD4E60CD6B34453F6C970575B3CE5706110BC16FB9BEDA7D6291DF343861EBE072977C099F0C25A172183303D6ADD7C5F673BC0F6E2635E84624B1A3A566B69A85DE8E0008FBEE7,Agent
"April 9, 2018 15:16:23",1523283383551273,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,55322,129.12.44.154,FA:16:3E:68:2D:73,5672,0,3,"April 9, 2018 15:16:29",Connection Flow,123,,0,,,Agent
